,회사명,거래소코드,회계년도,부실판단
82,주식회사이매진,11244,2014,1
83,(주)자스텍,11258,2015,1
84,(주)패션플러스,11328,2014,1
85,안국바이오진단(주),11335,2016,1
86,서림비앤에스(주),11337,2014,1
87,성진씨앤티(주),11373,2014,1
88,영진하이테크주식회사,11395,2017,1
89,(주)코리아2000,11397,2014,1
90,(주)매지링크,11419,2014,1
91,(주)글라소울,11431,2014,1
92,주식회사유니텍,11447,2016,1
93,한림오스람임플란트(주),11543,2016,1
94,주식회사제일테크,11635,2022,1
95,주식회사애니셀,11698,2018,1
96,(주)인터하우스,11725,2014,1
97,주식회사비전홀딩스코퍼레이션,11746,2019,1
98,아이에스테크놀로지(주),11770,2015,1
99,(주)마프로,11821,2014,1
100,(주)제이테크놀러지,11851,2014,1
101,유한회사코캄,11858,2018,1
102,(주)포스텍,11870,2015,1
103,주식회사부산극장,11885,2016,1
104,(주)시벨코코리아,11886,2022,1
105,(주)제이앤컴퍼니,11903,2016,1
106,(주)고산,11910,2017,1
107,(주)엠지엘,11913,2021,1
108,창림모아츠(주),11997,2020,1
109,(주)이지시스템,12043,2015,1
110,아주엠씨엠(주),12046,2022,1
111,월드파워텍(주),12093,2014,1
112,(주)써키트플렉스,12175,2016,1
113,(주)새롬정보시스템,12266,2019,1
114,(주)올메디쿠스,12386,2021,1
115,갤럭시게이트주식회사,12429,2014,1
116,(주)네트워크케이블,12550,2022,1
117,(주)프리젠,12603,2019,1
118,(주)코우,12617,2021,1
119,(주)네오슈테른테크놀로지,12629,2014,1
120,(주)휘라포토닉스,12641,2017,1
121,(주)동일씨앤이,12647,2014,1
122,(주)에프알제이,12665,2016,1
123,(주)아세아이엔티,12670,2017,1
124,주식회사소정,12707,2020,1
125,주식회사에스카테크,12730,2014,1
126,호남식품주식회사,12794,2014,1
127,가산토건주식회사,12819,2019,1
128,(주)가야미디어,12820,2018,1
129,강동수산주식회사,12838,2019,1
130,주식회사엠비씨강원영동,12840,2018,1
131,강원고속주식회사,12851,2022,1
132,강원여객자동차주식회사,12856,2014,1
133,주식회사케이박스,12859,2014,1
134,(주)건우정공,12888,2014,1
135,(주)벽산엔터프라이즈,12891,2022,1
136,건화공업(주),12894,2014,1
137,주식회사알멕,12903,2019,1
138,주식회사경남무역,12905,2020,1
139,(주)경동,12913,2015,1
140,경동시장주식회사,12915,2017,1
141,경동흥업주식회사,12919,2018,1
142,(주)케이비앤텍스,12928,2018,1
143,경산개발주식회사,12932,2014,1
144,경산제지(주),12933,2015,1
145,경양석유주식회사,12940,2014,1
146,경오건설주식회사,12941,2014,1
147,경원여객자동차(주),12950,2020,1
148,주식회사티티경인,12956,2018,1
149,경인실업주식회사,12957,2014,1
150,주식회사의왕아이시디,12958,2019,1
151,(주)경인일보,12960,2017,1
152,경인포장주식회사,12964,2014,1
153,경일석유주식회사,12970,2014,1
154,경주법주주식회사,12974,2014,1
155,케이씨더블류(주),12980,2018,1
156,신흥아이앤티주식회사,12996,2014,1
157,고려냉장주식회사,12999,2019,1
158,고려농상(주),13000,2018,1
159,고려애자공업(주),13014,2014,1
160,고려여객자동차주식회사,13015,2014,1
161,고원기술(주),13030,2014,1
162,에이에프씨주식회사,13036,2014,1
163,광남개발주식회사,13051,2017,1
164,(주)광산,13068,2014,1
165,(주)세광조선,13080,2014,1
166,광주관광개발주식회사,13091,2014,1
167,광주문화방송주식회사,13093,2019,1
168,국제강재주식회사,13139,2014,1
169,에이제이아이씨티주식회사,13172,2019,1
170,극동수산(주),13181,2014,1
171,(주)근화씨엔씨,13189,2014,1
172,(주)글로벌아이엔씨,13193,2016,1
173,금강기업(주),13197,2021,1
174,(주)금강밸브,13199,2020,1
175,(주)금강B&F,13200,2014,1
176,(주)진오,13203,2014,1
177,금성수산(주),13223,2017,1
178,금성제어기주식회사,13225,2021,1
179,금아산업주식회사,13228,2020,1
180,(주)금자탑,13237,2019,1
181,금한냉동주식회사,13244,2022,1
182,기흥관광개발,13288,2014,1
183,(주)기흥기계,13289,2019,1
184,김포교통주식회사,13297,2014,1
185,주식회사나눅스,13305,2014,1
186,나진산업주식회사,13322,2014,1
187,남광석유판매(주),13337,2014,1
188,남광주관광주식회사,13339,2014,1
189,한국코스틱주식회사,13344,2021,1
190,남선산업주식회사,13348,2017,1
191,남성기계산업주식회사,13352,2018,1
192,(주)아이에스테크,13353,2018,1
193,남양주택산업주식회사,13370,2014,1
194,남양진흥기업주식회사,13371,2014,1
195,남영산업주식회사,13374,2014,1
196,(주)남영전구,13377,2014,1
197,(주)남우,13379,2014,1
198,남유산업주식회사,13383,2017,1
199,남진건설주식회사,13387,2015,1
200,남척석유(주),13389,2019,1
201,(주)남청,13390,2014,1
202,남해종합건설주식회사,13394,2020,1
203,남화통상주식회사,13400,2019,1
204,남흥건설주식회사,13401,2019,1
205,(주)셀랩,13411,2018,1
206,주식회사넥서스,13422,2014,1
207,(주)하나앤컴파니,13446,2014,1
208,농업회사법인(주)삼화육종,13455,2014,1
209,뉴경기관광주식회사,13465,2014,1
210,(주)다다,13486,2014,1
211,주식회사다다씨앤씨,13487,2014,1
212,케이.엠.에프주식회사,13492,2014,1
213,(주)다원종합개발,13496,2014,1
214,다이나캐스트코리아(주),13498,2021,1
215,다이노나(주),13500,2014,1
216,(주)그레이프커뮤니케이션즈,13502,2016,1
217,(주)단우실업,13512,2016,1
218,(주)대경종합건설,13525,2014,1
219,주식회사대광,13533,2015,1
220,(주)바이오액츠,13538,2016,1
221,더케이호텔앤리조트,13539,2014,1
222,디에스라이프주식회사,13547,2014,1
223,송마디엠씨주식회사,13549,2015,1
224,대군토건주식회사,13552,2014,1
225,대륭기업주식회사,13594,2019,1
226,주식회사대륭전선,13595,2018,1
227,대림종합건설(주),13606,2014,1
228,유한회사아이티더블유오토모티브코리아,13610,2021,1
229,대명공업(주),13614,2019,1
230,대보실업(주),13626,2014,1
231,대선제분(주),13638,2014,1
232,(주)대성팜,13641,2017,1
233,대성건설주식회사,13642,2017,1
234,대성계전주식회사,13643,2014,1
235,동화산업주식회사,13647,2014,1
236,대성기업주식회사,13649,2016,1
237,대신시스템,13669,2022,1
238,대신염직공업주식회사,13670,2016,1
239,대아레저산업(주),13681,2014,1
240,대양상선(주),13693,2014,1
241,(주)대양에프엠에스,13695,2016,1
242,블루닉스(주),13711,2017,1
243,미건도시개발주식회사,13712,2016,1
244,넥상스대영,13716,2020,1
245,대영주택건설주식회사,13718,2014,1
246,대왕철강(주),13726,2016,1
247,주식회사대용,13727,2020,1
248,새한에프앤비(주),13761,2014,1
249,(주)대원홀딩스,13762,2014,1
250,주식회사다솔,13768,2014,1
251,대은전자주식회사,13769,2017,1
252,(주)크레아아이엔,13771,2015,1
253,대인훼리(주),13774,2017,1
254,(주)대일씨앤아이,13784,2014,1
255,대전문화방송주식회사,13788,2020,1
256,(주)대주,13793,2020,1
257,대주기업주식회사,13795,2015,1
258,대준산업(주),13800,2014,1
259,대진여객주식회사,13810,2021,1
260,대진종합건설주식회사,13811,2015,1
261,대진침대주식회사,13813,2018,1
262,대창HRSG주식회사,13826,2018,1
263,(주)대천나염,13827,2019,1
264,티에프오인더스트리주식회사,13828,2014,1
265,주식회사대촌,13830,2017,1
266,대한공기주식회사,13838,2022,1
267,대한산업주식회사,13851,2020,1
268,대한상운(주),13852,2022,1
269,대한주물공업주식회사,13871,2017,1
270,대한중천산업(주),13873,2017,1
271,대한출판(주),13874,2014,1
272,주식회사대한특수강,13884,2016,1
273,대한특수금속(주),13885,2014,1
274,대해수산주식회사,13887,2015,1
275,대현실업주식회사,13890,2014,1
276,(주)더프리마,13891,2015,1
277,대홍전기(주),13902,2015,1
278,(주)대화연료펌프,13909,2018,1
279,주식회사대화제지,13911,2015,1
280,주식회사디에이치에이치아이,13916,2021,1
281,대흥기업(주),13917,2016,1
282,(주)대흥산업,13918,2020,1
283,대흥실리콘주식회사,13920,2014,1
284,주식회사호텔덕구온천,13925,2017,1
285,덕수기업주식회사,13932,2014,1
286,덕은인터라인정유(주),13939,2015,1
287,진해물산주식회사,13942,2014,1
288,덕흥제선주식회사,13946,2014,1
289,가나안상사주식회사,13970,2021,1
290,도진물산(주),13983,2014,1
291,동화이에스주식회사,13984,2018,1
292,주식회사동광인터내셔날,13994,2020,1
293,성운개발(주),13996,2014,1
294,(주)디케이오스텍,13997,2022,1
295,동광정밀(주),13998,2020,1
296,동광화학,14002,2015,1
297,동국물산(주),14003,2017,1
298,(주)북플러스,14009,2019,1
299,주식회사동남,14019,2014,1
300,동남석유공업주식회사,14021,2014,1
301,참손푸드주식회사,14027,2015,1
302,동남주택산업주식회사,14035,2014,1
303,(주)디에이치에스앤이,14038,2020,1
304,(주)동도전자,14041,2018,1
305,주식회사동림,14045,2020,1
306,주식회사이동수에프엔지,14048,2018,1
307,주식회사디엠씨,14054,2014,1
308,동미전기공업주식회사,14057,2014,1
309,(주)동방플랜텍,14061,2019,1
310,주식회사팩슨,14066,2021,1
311,동방콘크리트공업주식회사,14070,2020,1
312,동보체인공업주식회사,14074,2022,1
313,(주)디에스종합건설,14076,2014,1
314,동삼건영주식회사,14083,2014,1
315,제이레저주식회사,14087,2014,1
316,동성산업(주),14110,2019,1
317,주식회사동성씨-테크,14120,2014,1
318,(주)동숭아트센터,14121,2014,1
319,동신건설산업주식회사,14125,2019,1
320,동신산업(주),14128,2021,1
321,동신운수(주),14130,2022,1
322,(주)동신유압,14132,2016,1
323,동아강업주식회사,14139,2020,1
324,동아서적주식회사,14147,2015,1
325,주식회사동아일렉콤,14156,2016,1
326,동아베스텍주식회사,14158,2019,1
327,참빛산업(주),14167,2015,1
328,동아흥업주식회사,14170,2014,1
329,동양고속훼리(주),14177,2014,1
330,동양산업주식회사,14182,2014,1
331,동양섬유(주),14190,2014,1
332,동양화학(주),14209,2014,1
333,(주)티와이밸브,14213,2014,1
334,(주)자은전자,14215,2015,1
335,동오화학(주),14219,2014,1
336,(주)가현,14227,2017,1
337,주식회사하엠,14243,2015,1
338,디에이치코리아(주),14244,2014,1
339,(주)동원파이프,14247,2020,1
340,동은개발진흥(주),14250,2014,1
341,동익건설주식회사,14253,2019,1
342,동일건설(주),14257,2015,1
343,동일조선(주),14268,2018,1
344,동일유업주식회사,14271,2015,1
345,(주)동재,14277,2020,1
346,(주)에렉스,14280,2015,1
347,동진건설(주),14286,2021,1
348,주식회사삼호에너지,14293,2014,1
349,동해상사주식회사,14305,2014,1
350,동헌산업주식회사,14311,2021,1
351,동호에이텍,14315,2020,1
352,동화기업주식회사,14319,2014,1
353,동화산업주식회사,14323,2017,1
354,동화투자개발(주),14330,2014,1
355,(주)동환물산,14333,2016,1
356,삼성다이나에이치백(주),14334,2014,1
357,두고테크주식회사,14339,2014,1
358,주식회사두성특장차,14358,2019,1
359,(주)두원정공,14369,2014,1
360,(주)듀링,14374,2020,1
361,(주)디엠디스플레이,14404,2020,1
362,(주)디오원,14407,2017,1
363,디케이코리아주식회사,14424,2014,1
364,라성건설주식회사,14434,2022,1
365,(주)화인시스템,14453,2015,1
366,로얄앤컴퍼니(주),14470,2015,1
367,(주)롬엔드하스코리아,14487,2014,1
368,롯데관광(주),14489,2019,1
369,주식회사리브로,14507,2019,1
370,알앤투주식회사,14512,2014,1
371,(주)엠비씨경남,14519,2019,1
372,마스터스통상(주),14523,2016,1
373,(주)마주코통상,14532,2015,1
374,마천건설(주),14533,2020,1
375,주식회사맥산,14548,2018,1
376,명성운수주식회사,14573,2014,1
377,(주)명지문화,14584,2014,1
378,(주)문영건설,14611,2014,1
379,문학개발주식회사,14613,2018,1
380,문화물산주식회사,14614,2014,1
381,문화직물,14617,2016,1
382,(주)미건의료기,14619,2014,1
383,(주)부성티에프시,14621,2020,1
384,미래건설(주),14630,2014,1
385,주식회사미륭산업,14641,2020,1
386,미진건설주식회사,14658,2022,1
387,미화콘크리트주식회사,14662,2018,1
388,바이켐주식회사,14681,2019,1
389,주식회사방주,14701,2019,1
390,백남관광주식회사,14705,2022,1
391,(주)백산린텍스,14710,2015,1
392,(주)범우,14733,2021,1
393,보광개발(주),14767,2014,1
394,보국전기공업주식회사,14770,2017,1
395,보끄레머천다이징,14771,2017,1
396,보령물산(주),14781,2016,1
397,(주)보령홀딩스,14782,2021,1
398,보명실업(주),14787,2014,1
399,보문관광주식회사,14789,2014,1
400,(주)보생,14791,2019,1
401,보영운수주식회사,14813,2014,1
402,(주)나이스엘엠에스,14814,2019,1
403,복산약품(주),14820,2014,1
404,부국관광주식회사,14826,2014,1
405,부국산업(주),14829,2019,1
406,부국철강공업주식회사,14832,2014,1
407,부림비엠주식회사,14836,2014,1
408,부산문화방송(주),14847,2019,1
409,늘곁애라이프온(주),14848,2014,1
410,부산일보(주),14852,2014,1
411,(주)부성리싸이클링,14862,2016,1
412,(주)부영건설,14867,2017,1
413,부전전자(주),14884,2017,1
414,(주)비씨상사,14908,2014,1
415,(주)빌트모아,14925,2014,1
416,(주)뻬띠앙뜨,14929,2014,1
417,(주)산양,14939,2018,1
418,(주)삼건사,14952,2014,1
419,(주)케이엠에이치신라레저,14955,2014,1
420,삼광개발(주),14959,2019,1
421,삼구건설(주),14965,2022,1
422,삼대건설주식회사,14971,2017,1
423,삼도종합건설(주),14978,2016,1
424,삼두실업주식회사,14982,2014,1
425,삼명기계공업(주),14991,2015,1
426,(주)에스피인터네셔널,15011,2014,1
427,삼성공업주식회사,15025,2020,1
428,삼성여객자동차주식회사,15040,2014,1
429,(주)삼성콘크리트,15049,2014,1
430,삼성에프.씨주식회사,15056,2019,1
431,삼승철강(주),15059,2014,1
432,삼신엠앤디(주),15067,2016,1
433,삼아건설주식회사,15071,2016,1
434,삼양물산주식회사,15078,2014,1
435,삼양비지네스포옴주식회사,15080,2014,1
436,삼양화학공업(주),15090,2019,1
437,삼영금속공업주식회사,15096,2019,1
438,삼영기계주식회사,15097,2017,1
439,삼영산업(주),15100,2021,1
440,다옴홀딩스주식회사,15106,2014,1
441,삼웅에이에프티(주),15116,2014,1
442,삼원관광개발주식회사,15117,2021,1
443,삼원금형정공주식회사,15120,2017,1
444,(주)삼원농산,15122,2022,1
445,(주)삼익유가공,15144,2018,1
446,(주)삼일제지,15149,2016,1
447,삼일니트주식회사,15151,2014,1
448,삼일방직주식회사,15152,2015,1
449,(주)삼전,15159,2016,1
450,삼정건물주식회사,15162,2019,1
451,삼지석재공업주식회사,15178,2015,1
452,(주)삼진앤컴퍼니,15181,2018,1
453,삼풍건설주식회사,15202,2014,1
454,삼풍관광(주),15203,2014,1
455,삼한교역상사주식회사,15205,2022,1
456,일경산업개발(주),15211,2014,1
457,삼형기업(주),15215,2014,1
458,삼화비철공업(주),15228,2016,1
459,삼화인쇄주식회사,15234,2020,1
460,삼화제분(주),15235,2020,1
461,(주)삼화종합개발,15237,2014,1
462,(주)케이알엠,15241,2021,1
463,삼흥개발주식회사,15243,2014,1
464,신아플러스건설주식회사,15262,2014,1
465,상진개발주식회사,15263,2022,1
466,(주)새턴바스,15280,2022,1
467,새턴홀딩스주식회사,15281,2019,1
468,새한건설주식회사,15285,2020,1
469,새한음반(주),15293,2014,1
470,케이에스케이펀드(주),15296,2014,1
471,서광종합개발주식회사,15314,2019,1
472,(주)서광전자,15315,2014,1
473,에이에프티코리아(주),15317,2016,1
474,서도산업주식회사,15321,2020,1
475,(주)로얄건설,15333,2016,1
476,용원건설주식회사,15337,2017,1
477,주식회사리더스케미컬,15340,2014,1
478,서영정밀주식회사,15342,2019,1
479,(주)서울가든,15344,2014,1
480,서울금속공업(주),15350,2021,1
481,서울낫소(주),15352,2014,1
482,서울화인테크주식회사,15381,2017,1
483,서원건설주식회사,15384,2019,1
484,에스더블유팜주식회사,15386,2014,1
485,서일전자(주),15392,2018,1
486,서진화학(주),15403,2021,1
487,서현산업주식회사,15412,2014,1
488,석미개발주식회사,15417,2016,1
489,석미건설주식회사,15418,2022,1
490,(주)석천레미콘,15423,2014,1
491,선광건설주식회사,15425,2014,1
492,선산토건주식회사,15431,2015,1
493,선주토건주식회사,15445,2014,1
494,섬강산업주식회사,15456,2019,1
495,성도건설산업(주),15469,2021,1
496,(주)성도,15472,2014,1
497,성안염직(주),15499,2015,1
498,성우건설주식회사,15508,2018,1
499,(주)스웨코,15535,2020,1
500,성원제강(주),15536,2014,1
501,(주)유니원,15544,2014,1
502,성일종합건설주식회사,15546,2019,1
503,성일산업주식회사,15547,2014,1
504,성진수산주식회사,15563,2018,1
505,성창약품주식회사,15572,2014,1
506,(주)성화,15582,2016,1
507,(주)냉장인터불고,15591,2017,1
508,(주)이스트밸리,15619,2016,1
509,(주)세아주택,15637,2014,1
510,세안홀딩스(주),15640,2017,1
511,세양폴리머(주),15647,2020,1
512,(주)에스더블유글로벌,15650,2014,1
513,세우테크노산업(주),15653,2014,1
514,세일기계설비(주),15672,2016,1
515,세일전자주식회사,15677,2016,1
516,세창상사주식회사,15701,2014,1
517,센추리개발(주),15721,2014,1
518,(주)소신홀딩스,15733,2014,1
519,송강산업주식회사,15739,2020,1
520,송원물산(주),15744,2018,1
521,송전농산(주),15748,2014,1
522,송학제지주식회사,15752,2016,1
523,수림종합개발(주),15755,2014,1
524,에스피엘(주),15758,2021,1
525,수원여객운수주식회사,15764,2020,1
526,주식회사수협유통,15770,2014,1
527,쉬프트정보통신(주),15776,2021,1
528,삼성발레오써멀시스템스(주),15781,2022,1
529,(주)스마트넷테크놀로지,15783,2017,1
530,스마트전자주식회사,15786,2014,1
531,(주)시그너스,15811,2014,1
532,(주)시그너스개발,15812,2018,1
533,(주)시그너스정공,15813,2021,1
534,(주)시퍼스파이프라인,15827,2019,1
535,신광산업주식회사,15837,2014,1
536,(주)신도시스템,15852,2014,1
537,주식회사신도테크노,15855,2014,1
538,신동아종합건설(주),15863,2014,1
539,(주)신라명과,15869,2016,1
540,신명종합건설주식회사,15873,2014,1
541,신성교통주식회사,15880,2014,1
542,(주)신세계와이비에스,15894,2015,1
543,신세계음향공업주식회사,15895,2014,1
544,주식회사신아텍,15912,2014,1
545,신안개발주식회사,15913,2014,1
546,신안건설산업(주),15914,2017,1
547,신안관광개발주식회사,15916,2014,1
548,신영기계공업주식회사,15928,2019,1
549,유니스건설(주),15930,2014,1
550,신영스타킹주식회사,15935,2018,1
551,신우건설산업(주),15941,2020,1
552,(주)신우농수산,15944,2014,1
553,신우프레스(주),15947,2019,1
554,에스더불유아이주식회사,15952,2018,1
555,(주)신원엔에스,15955,2014,1
556,신원합섬주식회사,15961,2014,1
557,(주)신일,15965,2021,1
558,신일기업주식회사,15969,2017,1
559,신일산업주식회사,15972,2014,1
560,(주)에스피일레멕,15981,2020,1
561,주식회사지유기건,15992,2020,1
562,(주)모베이스코넥타,15993,2020,1
563,(주)신태진,15997,2014,1
564,(주)비와이씨마트,16002,2018,1
565,신한발브공업주식회사,16003,2014,1
566,신한산업(주),16006,2020,1
567,(주)신한종합건축사사무소,16019,2015,1
568,(주)신한주택개발,16020,2014,1
569,신한화섬주식회사,16027,2015,1
570,(주)신화사,16038,2014,1
571,신화종합건설(주),16045,2020,1
572,신화철강(주),16046,2018,1
573,신흥정보통신(주),16055,2018,1
574,쓰리에이프린팅(주),16091,2014,1
575,씨카코리아주식회사,16123,2016,1
576,주식회사우주홀딩스,16132,2014,1
577,아모제푸드시스템(주),16141,2016,1
578,아세아약품(주),16157,2015,1
579,(주)아세아유니온,16159,2014,1
580,(주)아시아디벨로퍼,16167,2014,1
581,아이씨이아이우방주식회사,16187,2014,1
582,주식회사아이엘티,16197,2022,1
583,(주)아이티웰,16213,2016,1
584,주식회사아이피스,16216,2017,1
585,(주)아주하이텍,16222,2015,1
586,아코디스(주),16231,2014,1
587,동화종합건설(주),16238,2014,1
588,(주)아프로텍,16241,2020,1
589,(주)안다미로,16248,2014,1
590,안양역사(주),16258,2020,1
591,(주)알켄즈,16267,2014,1
592,아주모터스(주),16295,2021,1
593,(주)양산아이시디,16296,2015,1
594,양지화학주식회사,16302,2014,1
595,(주)알케이에프앤,16321,2014,1
596,에이비씨상사(주),16365,2016,1
597,에이스투자(주),16375,2014,1
598,에이시스주식회사,16376,2019,1
599,더워런티그룹코리아(주),16386,2018,1
600,주식회사에프앤케이,16408,2020,1
601,엘디산업개발주식회사,16435,2017,1
602,(주)엘케이,16453,2021,1
603,여명약품주식회사,16470,2014,1
604,여수문화방송(주),16471,2019,1
605,연경전자주식회사,16475,2018,1
606,연세산업(주),16478,2021,1
607,연일주택주식회사,16483,2014,1
608,연전개발주식회사,16484,2014,1
609,(주)연흥개발,16490,2015,1
610,영남건설(주),16499,2014,1
611,영남주물공업주식회사,16504,2014,1
612,영도건설산업(주),16507,2016,1
613,영동건설주식회사,16510,2014,1
614,(주)와이디아이,16511,2019,1
615,영림목재주식회사,16515,2014,1
616,(주)와이엘씨,16517,2014,1
617,(주)영성,16524,2014,1
618,(주)지엔에스,16528,2014,1
619,주식회사영텍스타일,16529,2014,1
620,영신산업(주),16531,2014,1
621,영신여객(주),16533,2019,1
622,주식회사영신종합건설,16535,2014,1
623,영안모자주식회사,16537,2014,1
624,영인관광농원주식회사,16545,2014,1
625,영일기업주식회사,16548,2014,1
626,영풍전자주식회사,16582,2015,1
627,영화엔지니어링,16586,2015,1
628,주식회사삼양컴텍,16604,2017,1
629,오리엔트화학(주),16605,2015,1
630,주식회사오성자원,16619,2014,1
631,오성제지주식회사,16620,2014,1
632,(주)오토산업,16637,2016,1
633,옥산레저주식회사,16639,2014,1
634,(주)온라인카고,16643,2014,1
635,와이엠건설(주),16654,2016,1
636,(주)와이제이코퍼레이션,16663,2017,1
637,일송개발(주),16670,2014,1
638,용원개발주식회사,16673,2014,1
639,은화삼컨트리클럽주식회사,16675,2014,1
640,용창산업(주),16677,2019,1
641,우남케미칼해운주식회사,16686,2018,1
642,우련통운주식회사,16689,2014,1
643,우리종합건설주식회사,16697,2014,1
644,우림개발주식회사,16705,2014,1
645,우진산업주식회사,16718,2016,1
646,(주)티씨씨강판,16719,2018,1
647,(주)에임하이글로벌,16721,2020,1
648,(주)우성염직,16729,2017,1
649,우성전기공업주식회사,16730,2018,1
650,우신산업주식회사,16742,2020,1
651,우신운수(주),16743,2021,1
652,우신종합건설주식회사,16744,2021,1
653,우연산업개발주식회사,16749,2014,1
654,우영개발,16750,2016,1
655,우일정밀공업(주),16762,2017,1
656,우진관광개발주식회사,16775,2015,1
657,(주)우진물산,16778,2018,1
658,제닉스(주),16784,2014,1
659,제이씨엔울산중앙방송,16799,2014,1
660,(주)웅남,16802,2018,1
661,원광건설주식회사,16818,2019,1
662,원양어업개발주식회사,16825,2014,1
663,원우성업(주),16829,2017,1
664,주식회사이즈엠,16831,2018,1
665,원일종합건설주식회사,16835,2018,1
666,(주)원정,16838,2018,1
667,원창물산(주),16843,2014,1
668,(주)웨어펀인터내셔날,16862,2014,1
669,유경산업주식회사,16879,2014,1
670,유니레버코리아주식회사,16886,2014,1
671,유한회사유니북스,16891,2014,1
672,(주)유엠씨홀딩스,16895,2014,1
673,유로통상주식회사,16914,2016,1
674,주식회사유성텔레콤,16927,2019,1
675,유성관광주식회사,16930,2014,1
676,(주)유성금속,16931,2014,1
677,유성온천개발(주),16935,2018,1
678,유신전자공업(주),16941,2014,1
679,유일고무주식회사,16951,2014,1
680,유진기공산업주식회사,16960,2019,1
681,유창산업주식회사,16974,2014,1
682,유호건설(주),16988,2021,1
683,융성산업주식회사,17001,2019,1
684,은산토건주식회사,17004,2014,1
685,주식회사은성테크닉스,17005,2014,1
686,주식회사은성오엔씨,17006,2016,1
687,(주)송스,17012,2019,1
688,디엠아이텍주식회사,17021,2014,1
689,(주)이메이션코리아,17032,2014,1
690,이영산업기계주식회사,17061,2014,1
691,(주)이우,17063,2020,1
692,이진종합건설주식회사,17075,2020,1
693,이화기계공업주식회사,17090,2019,1
694,이화산업주식회사,17092,2014,1
695,유니콘미싱공업(주),17101,2015,1
696,인곡산업(주),17102,2016,1
697,(주)인베스터유나이티드,17106,2014,1
698,슈나이더일렉트릭시스템스코리아주식회사,17108,2018,1
699,정일산업주식회사,17113,2020,1
700,인창전자주식회사,17120,2022,1
701,일광공구공업주식회사,17148,2022,1
702,(주)일성건설,17162,2019,1
703,일성기계공업주식회사,17163,2021,1
704,일성레저산업(주),17164,2014,1
705,서일캐스팅(주),17169,2020,1
706,일신산업주식회사,17170,2022,1
707,일신태광금속주식회사,17175,2014,1
708,일신해운주식회사,17179,2014,1
709,(주)일심,17181,2016,1
710,(주)일양토건,17183,2015,1
711,일우종합건설주식회사,17185,2014,1
712,(주)일우,17186,2021,1
